320,Paris Brunner,de GER,"FW,MF",Monaco,fr Ligue 1,19-324,2006,4,1,98,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,5,3,13,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
321,Jacob Bruun Larsen,dk DEN,"FW,MF",Burnley,eng Premier League,27-108,1998,18,9,861,9.6,0,1,1,0,0,0,0,0,1.2,1.2,1.4,2.6,16,22,61,0,0.1,0.1,0,0.1,0.12,0.14,0.27,0.12,0.27,Matches
322,Tajon Buchanan,ca CAN,"MF,DF",Villarreal,es La Liga,26-331,1999,16,10,987,11,5,0,5,5,0,0,5,0,1.2,1.2,1.3,2.5,34,26,76,0.46,0,0.46,0.46,0.46,0.11,0.12,0.22,0.11,0.22,Matches
323,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,34-167,1991,17,15,"1,299",14.4,6,0,6,3,3,4,0,0,7.3,4.1,0.5,4.7,9,13,47,0.42,0,0.42,0.21,0.21,0.5,0.04,0.54,0.29,0.32,Matches
324,Emi Buendía,ar ARG,"FW,MF",Aston Villa,eng Premier League,29-011,1996,18,9,743,8.3,4,2,6,4,0,0,2,0,1.7,1.7,1.4,3.2,19,38,34,0.48,0.24,0.73,0.48,0.73,0.21,0.17,0.38,0.21,0.38,Matches
325,Hugo Bueno,es ESP,"DF,MF",Wolves,eng Premier League,23-109,2002,17,11,"1,073",11.9,0,1,1,0,0,0,1,0,0.3,0.3,1.1,1.4,40,30,61,0,0.08,0.08,0,0.08,0.03,0.09,0.12,0.03,0.12,Matches
326,Manu Bueno,es ESP,MF,Sevilla,es La Liga,21-162,2004,3,0,63,0.7,0,0,0,0,0,0,0,0,0,0,0.2,0.2,2,3,1,0,0,0,0,0,0.05,0.25,0.3,0.05,0.3,Matches
327,Santiago Bueno,uy URU,DF,Wolves,eng Premier League,27-057,1998,11,10,935,10.4,2,0,2,2,0,0,2,0,1.6,1.6,0.1,1.6,4,27,1,0.19,0,0.19,0.19,0.19,0.15,0.01,0.16,0.15,0.16,Matches
328,Louis Buffon,cz CZE,"FW,MF",Pisa,it Serie A,18-008,2007,4,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,Matches
329,Adam Buksa,pl POL,FW,Udinese,it Serie A,29-177,1996,14,2,492,5.5,1,0,1,1,0,0,1,0,0.7,0.7,0.3,1,6,6,11,0.18,0,0.18,0.18,0.18,0.12,0.05,0.18,0.12,0.18,Matches
330,Andrija Bulatović,me MNE,MF,Lens,fr Ligue 1,19-009,2006,7,2,245,2.7,0,1,1,0,0,0,1,0,0.1,0.1,0.6,0.7,2,6,10,0,0.37,0.37,0,0.37,0.04,0.23,0.27,0.04,0.27,Matches
